선명,역명,시간(분),거리(km)
1호선,소요산,0,0
1호선,동두천,0,2.5
1호선,보산,0,1.6
1호선,동두천중앙,0,1.4
1호선,지행,0,1
1호선,덕정,0,5.6
1호선,덕계,0,2.9
1호선,양주,0,5.3
1호선,녹양,0,1.6
1호선,가능,0,1.3
1호선,의정부,0,1.2
1호선,회룡,0,1.6
1호선,망월사,0,1.4
1호선,도봉산,0,2.3
1호선,도봉,0,1.2
1호선,방학,0,1.3
1호선,창동,0,1.7
1호선,녹천,0,1
1호선,월계,0,1.4
1호선,광운대,0,1.1
1호선,석계,0,1.1
1호선,신이문,0,1.4
1호선,외대앞,0,0.8
1호선,회기,0,0.8
1호선,청량리(서울시립대입구),0,1.4
1호선,제기동,1:30,1
1호선,신설동,1:30,0.9
1호선,동묘앞,1:30,0.7
1호선,동대문,1:00,0.6
1호선,종로5가,1:30,0.8
1호선,종로3가,1:30,0.9
1호선,종각,1:30,0.8
1호선,시청,2:00,1
1호선,서울역,2:00,1.1
1호선,남영,0,1.7
1호선,용산,0,1.5
1호선,노량진,0,2.6
1호선,대방,0,1.5
1호선,신길,0,0.8
1호선,영등포,0,1
1호선,신도림,0,1.5
1호선,구로,0,1.1
1호선,구일,0,1.4
1호선,개봉,0,1
1호선,오류동,0,1.3
1호선,온수,0,1.9
1호선,역곡,0,1.3
1호선,소사,0,1.5
1호선,부천,0,1.1
1호선,중동,0,1.7
1호선,송내,0,1
1호선,부개,0,1.2
1호선,부평,0,1.5
1호선,백운,0,1.7
1호선,동암,0,1.5
1호선,간석,0,1.2
1호선,주안,0,1.2
1호선,도화,0,1
1호선,제물포,0,1
1호선,도원,0,1.4
1호선,동인천,0,1.2
1호선,인천,0,1.9
2호선,성수2,1:00,0.8
2호선,뚝섬,1:30,1.1
2호선,한양대,1:30,1
2호선,왕십리,1:00,0.8
2호선,상왕십리,1:00,0.9
2호선,신당,1:30,0.9
2호선,동대문역사문화공원,1:30,1
2호선,을지로4가,1:00,0.6
2호선,을지로3가,1:00,0.8
2호선,을지로입구,1:30,0.7
2호선,시청,1:30,1.1
2호선,충정로,1:30,0.8
2호선,아현,1:00,0.9
2호선,이대,1:00,0.8
2호선,신촌,2:00,1.3
2호선,홍대입구,1:30,1.1
2호선,합정,2:30,2
2호선,당산,1:30,1.1
2호선,영등포구청,1:00,0.9
2호선,문래,2:00,1.2
2호선,신도림,2:30,1.8
2호선,대림,1:30,1.1
2호선,구로디지털단지,1:30,1.1
2호선,신대방,2:00,1.8
2호선,신림,1:30,1.1
2호선,봉천,1:00,1
2호선,서울대입구,1:30,1
2호선,낙성대,2:00,1.7
2호선,사당,2:30,1.6
2호선,방배,2:00,1.7
2호선,서초,1:00,0.7
2호선,교대,1:30,1.2
2호선,강남,1:00,0.8
2호선,역삼,1:30,1.2
2호선,선릉,1:30,1.3
2호선,삼성,1:30,1
2호선,종합운동장,1:30,1.2
2호선,잠실새내,1:30,1.2
2호선,잠실,1:30,1
2호선,잠실나루,2:00,1.8
2호선,강변,1:00,0.9
2호선,구의,2:00,1.6
2호선,건대입구,1:30,1.2
2호선,성수,3:00,2.3
2호선,용답,1:30,1
2호선,신답,1:30,0.9
2호선,용두,1:30,1.2
2호선,까치산,2:30,1.4
2호선,신정네거리,3:00,1.9
2호선,양천구청,2:30,1.7
2호선,도림천,1:30,1
3호선,오금,1:30,0.8
3호선,경찰병원,1:00,0.8
3호선,가락시장,2:00,1.4
3호선,수서,2:00,1.8
3호선,일원,1:30,1.1
3호선,대청,1:30,0.9
3호선,학여울,1:00,0.8
3호선,대치,1:00,0.8
3호선,도곡,1:00,0.9
3호선,매봉,1:30,1.2
3호선,양재,2:00,1.8
3호선,남부터미널,1:30,0.9
3호선,교대,2:00,1.6
3호선,고속터미널,1:30,1.2
3호선,잠원,1:00,0.9
3호선,신사,2:00,1.5
3호선,압구정,2:30,2.1
3호선,옥수,1:00,0.8
3호선,금호,1:00,0.8
3호선,약수,1:30,0.7
3호선,동대입구,1:30,0.9
3호선,충무로,1:00,0.7
3호선,을지로3가,1:00,0.6
3호선,종로3가,2:00,1
3호선,안국,1:30,1.1
3호선,경복궁,2:00,1.6
3호선,독립문,1:30,1.1
3호선,무악재,1:30,0.9
3호선,홍제,2:00,1.6
3호선,녹번,1:30,1.1
3호선,불광,2:00,1.3
3호선,연신내,2:30,2
3호선,구파발,2:30,1.5
3호선,지축,0:00,2.3
3호선,삼송,0:00,2.1
3호선,원흥,0:00,2.9
3호선,원당,0:00,2.6
3호선,화정,0:00,2.1
3호선,대곡,0:00,2.5
3호선,백석,0:00,1.4
3호선,마두,0:00,0.9
3호선,정발산,0:00,1.6
3호선,주엽,0:00,1.4
3호선,대화,0:00,0
4호선,남태령,2:00,1.6
4호선,사당,1:30,1.1
4호선,총신대입구,2:30,1.8
4호선,동작,3:00,2.7
4호선,이촌,2:00,1.3
4호선,신용산,1:00,0.7
4호선,삼각지,1:30,1.2
4호선,숙대입구,1:30,1
4호선,서울역,1:30,0.9
4호선,회현,1:00,0.7
4호선,명동,1:00,0.7
4호선,충무로,2:00,1.3
4호선,동대문역사문화공원,1:00,0.7
4호선,동대문,2:00,1.5
4호선,혜화,1:30,0.9
4호선,한성대입구,1:30,1
4호선,성신여대입구,2:00,1.4
4호선,길음,2:00,1.3
4호선,미아사거리,2:00,1.5
4호선,미아,1:30,1.4
4호선,수유,2:00,1.5
4호선,쌍문,2:00,1.3
4호선,창동,1:30,1.4
4호선,노원,1:30,1
4호선,상계,2:30,1.2
